ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
202,13175.4037834541,86.6485338434873,1,3.12149226668897,63.463494327174,9,0.0523428665825132,8.6305153496944,0.0813216806895651,85.0423792820698,0,2419.61678538973,0.46894662373252,5.55163898977932,236.439300968512,1
535,19770.0460928676,86.3106636132627,4,0.819530511001648,83.6978176316166,20,4.90832824964953,9.29659808820109,0.0384864696462169,99.6574429830594,7,3915.56671251891,0.119484558271017,9.0807535565179,353.957631170701,1
960,19060.8209974568,82.132472378732,0,4.51450407060987,90.3505500280751,1,2.46492278909198,5.09748570088917,0.00288736506692801,92.8192642920766,2,3392.38536190701,0.496391526377147,6.56282727133598,396.189402078974,1
370,5647.60603695518,87.3359664129254,5,0.638523960069381,67.6286901201898,8,4.69247579165386,3.57761599080827,0.0553309712298264,96.8870134569342,8,4652.40027520808,0.183125088080803,8.09749564979791,164.135869935996,1
206,7472.22223594156,81.9898933774593,3,3.86778360294384,82.7283336314996,9,2.74672616917526,6.85170948140452,0.0680471388923528,88.3155536394343,7,1581.63033222336,0.263506944159604,6.40615401336593,365.708963555247,1
171,6975.93160181843,95.331918894241,1,3.91457364216941,92.5684359353147,19,3.02732430111144,7.9300093657319,0.0740694945336007,87.0791177428964,7,1238.9944212941,0.118020523266287,7.27944201885467,171.711803860605,1
800,15889.6986497794,99.3254859549637,3,4.78899988376869,90.7299111058527,10,3.55956127951986,3.04688853059728,0.0401924954309284,91.0631578976219,8,3138.43114996451,0.333912881243213,4.89166883913966,188.727737395993,1
120,17266.7799478542,99.4014891333341,4,0.743604837810443,92.1196807146861,13,1.60487866832203,8.38097211747627,0.00970196314924006,88.7055688525328,3,1004.10855444314,0.293422106160397,9.33383471687366,312.526896112006,1
714,8202.67049466008,97.3014219875079,5,3.18585587353021,95.1729369947888,2,3.49491980337517,3.66874656010046,0.0584326434463386,94.2989611027359,4,4150.87577253986,0.366682813893912,5.51745118395245,215.68092079043,1
221,12587.7903942774,92.0158429867924,2,2.42528256782174,97.5072840863788,0,2.63395954925692,5.93341834326768,0.0329547885238182,85.3163618042359,6,3023.89155474004,0.317071250916589,5.96597202304087,364.638176494595,0
566,17610.545420168,94.0173139448776,3,1.98784829686794,76.2208462081414,6,3.36239974791253,8.85185959902522,0.0946887482274853,88.991820621848,1,2952.26230423157,0.259271113858828,5.72468952929365,482.310649696615,0
314,15992.0231714938,85.7041160536083,0,0.906433521345829,82.7507641009151,3,4.1791663045492,3.54739608834154,0.0502712108061328,97.9026549458812,6,2449.9839148967,0.395102679124668,3.84570118148427,159.556880534958,0
430,13133.5580823777,92.6154084034524,1,3.03194353852089,91.6263810418244,6,0.92114565135992,3.9350771838623,0.0472266046798979,95.1221580068666,2,2499.89534459505,0.110008451114783,3.08114592039267,328.204332923767,1
558,13855.2153568816,89.1129909887976,0,2.65568326553576,87.8855925578313,15,3.0677545516788,2.50216925199353,0.0309209532318357,83.3614033003579,5,2724.53471300262,0.316411608349838,1.66451467704,469.319673069277,1
187,12625.4082037442,89.6403467955387,3,0.970495061679609,99.8208091305752,9,0.260556643049183,3.17291289426504,0.0338786505383548,97.737296587832,5,1064.12937770412,0.145550481531604,7.46357483802294,170.611590660645,0
472,9463.22676978231,95.1555312075032,5,3.25620278193688,60.5471060441858,14,0.510575444745184,3.17220655825095,0.0512754784079912,91.7803318089038,5,1334.18314886482,0.274403333234333,3.60347736853334,246.740361353943,1
199,13475.3298928852,85.638367111945,2,3.82078904113822,74.2053286126316,15,3.37297117867794,3.6274200172331,0.0306664795314995,93.5857436654497,9,3020.19208004495,0.416450126743207,4.50278166876046,149.446733995915,1
971,15333.2795307514,86.3607922338904,2,3.95275235474142,71.2411170508081,5,0.354688259041597,4.28960317651987,0.0892304884368412,85.8851313169853,1,1600.48906087922,0.15698429850416,9.27935346453591,356.815087325579,1
763,18099.8437379121,98.4928358225727,0,4.57417934718092,70.4926340066214,3,2.97678889906987,8.51986691582833,0.0439017932429109,88.8308852727132,8,4115.05043338799,0.474324139508994,6.09802614470686,367.657171077881,1
230,14544.3703096887,81.1244858970194,4,2.3426183384995,68.9011912999554,3,1.10006299325693,9.32611091344894,0.0292022084013024,96.136249578125,7,2097.9406960181,0.455401876956562,1.87370257513544,365.672927774255,1
761,16416.8230556474,89.7126859682668,4,4.78882745879962,88.3649536326092,23,1.52042414255874,5.2502448738316,0.0155394833541149,86.6135243752636,6,1391.5985493973,0.265962028346679,8.19650721541465,316.850819345338,1
408,7401.0745243186,98.2560160081572,5,4.39443232287209,63.3903789310129,22,0.648182510737132,3.02567161590649,0.0672350726300358,83.3012323102039,8,1940.8397036138,0.102389936290375,3.3051753919851,398.504347119109,1
869,11923.3621162968,92.2072601563631,2,1.83425706960773,89.6643533577335,3,1.2433374308642,3.79047940076425,0.00257869432855841,87.5660982596696,3,2428.39292062315,0.415897930669794,5.97435258381564,114.350918551992,1
443,5139.9742974064,90.9281414842426,0,1.21677366807256,87.7370336806509,21,4.10645892409664,7.8896478148418,0.044999578716994,81.3843733481878,1,1141.26643437953,0.452358321364913,5.58983327377592,483.005394978122,1
591,8700.18296782435,84.9948835845871,0,2.45925228257606,70.0321653000359,21,3.19439202803264,7.41940415370312,0.0550121820367224,94.3571291696987,3,1566.70209754532,0.169895236942173,3.14270958116693,188.838483171741,1
513,15896.9257266951,86.865509781289,0,2.30854418580185,70.1133513266065,16,4.74879897356427,9.73765841284552,0.0339784610880332,82.954918175484,9,2295.38701791008,0.466476883526623,2.04193931315123,148.624787476697,1
905,19877.1492702405,97.0409683160939,3,3.09073687399042,85.1544234137801,12,0.243724276768776,2.11590944476067,0.0749817747275006,85.7025181412169,2,2241.92189523906,0.465638910917878,2.90135445845471,476.454417176773,1
485,6487.67149380824,91.1843626353692,5,3.12523804547487,90.4868442193471,1,3.96205998592034,8.00607008225886,0.0675660496837939,97.6216201110779,1,4201.54678623936,0.288516340413676,1.87604019607569,432.174766544633,1
291,11022.4147379193,90.2948438751356,4,3.87494142970989,95.0594245234946,19,3.49538591639712,6.04634880362385,0.0971398987569962,90.8099531591354,1,4373.02190125061,0.419213924319137,3.48065217056891,405.948167716672,1
376,17001.0645304874,81.9915942708006,4,2.79450476692525,94.085582554179,5,1.30446152598768,9.22154382337967,0.0508766799289682,86.4267688119295,7,1773.6743965742,0.277979191308795,9.97567759663718,141.898283575593,0
260,8060.53451943348,80.3205631291025,3,0.971701884233445,98.5953197665541,21,3.64583351405292,6.60933339301494,0.0537812364629383,90.9533378002977,4,1495.75953565139,0.325618506367447,4.61883038717244,423.011685470466,1
559,13326.2742395343,99.273703773741,1,4.36231100998898,83.2553958134604,0,3.5827427495731,5.57334179569132,0.0245839319193822,84.3655531926378,5,3536.64993728567,0.227935603923905,8.77499552201509,343.609409203913,1
413,15996.0694404451,87.5397233457368,3,1.89394062433334,96.3462224536144,7,2.29672601529372,7.32680487594396,0.0385483890730721,80.5034625941122,7,4218.49422278173,0.16378773812833,5.94259922916155,392.763444404738,0
121,14239.7817539027,92.0642612419901,5,4.87083857137966,92.3405309304164,17,3.44319809426854,8.66818753744798,0.0026860591158304,92.0746495792761,6,4854.89238889653,0.398614633525613,6.9992477140036,491.228111927357,1
352,7820.37101923124,81.5943014637457,0,1.03037048905897,95.7867049725605,20,2.22290451507533,4.25998840138282,0.068927478859769,94.2825186556946,6,1027.18513898606,0.100557137807654,2.40713172775501,177.7764708472,1
847,10330.7685302861,93.6622857144609,3,4.81213027504627,60.4650640514147,3,1.67772798028936,2.86021635027406,0.031162279968354,97.5956353089196,6,2654.71245370722,0.331821075859513,3.47325280679778,301.752784327412,1
956,16756.876767281,98.6513341741192,0,0.909553130971326,98.6361196746324,4,2.33245480168458,5.46414494655456,0.0540367009666698,95.4376672212945,6,3935.95133637754,0.445874410551386,5.59399080726033,401.340778583646,1
660,13313.3977119803,91.5133050599484,5,1.53966262076177,78.9412065138591,4,4.47564740746396,3.71615898249383,0.0254992396410949,98.5335540099103,7,4314.23719549742,0.18851091471058,8.93029090804157,273.462540308679,0
574,5078.44420314369,82.5223064475082,5,0.709609739389437,91.9273195829937,14,1.92291896430109,5.43632940316167,0.0621036200339659,99.7190695108574,0,1249.14379473239,0.233159782719201,1.38599232296446,121.861233167283,1
158,16414.8614004214,91.6344305494695,2,3.67300915987548,65.0881647735112,9,2.01844088728332,9.9283853823916,0.0447582492954044,94.898708954916,2,3722.45807785651,0.334994341145785,5.56227963609149,144.575559550208,1
